ship_ID, shipName, currentFuel, fuelCapacity, carryingCapacity
301, Container_Transportation, 72, 10000, 24000
302, Container_Tanker, 75, 12500, 27000
303, Liquid_Container, 91, 15000, 30000
304, Multipurpose Ship, 98, 20000, 41250
305, Special_Transportation, 100, 21500, 42000
306, Container_Transportation, 92, 22200, 37500
307, VN_Container_Ship, 100, 200000, 374000
308, Singapore_Transportation, 98, 200000, 300000
309, Thailand_Container_Ship, 70, 90000, 70000
310, Fast_Ship, 70, 50000, 35000
