tripID, vehicleName, date, dispatchingPort, destinationPort, Status
T1, Toyota_Tacoma_TRD, , port1, port2, getting_goods
T2, Peterbilt_389, , port1, port2, ongoing
T3, Mack_Anthem, , port4, prot5, ongoing
T4, Mack_Anthem, , port5, port4, refuels
T5, Kenworth_T680, , port2, port1, ongoing
T6, Chevy_Silverdo, , port2, port1, ongoing
T7, Kenworth_T680, port1, port2, getting_goods
T8, Nissan_Titan, , port4, port5, completed
T9, Chevy_Silverdo, , port1, port2, getting_goods
T10, Chevy_Silverdo, , port2, port1, ongoing
T11, Volvo_VNL, , port4, port5, ongoing
T12, Ford_F-150, , port1, port2, refuels
T13, Ford_F-150, , port2, port1, ongoing
T14, Freightliner_Cascadia, , port4, port5, ongoing
T15, Freightliner_Cascadia, port4, port5, completed
T16, VN_Container_Ship, , port1, port3, ongoing
T17, VN_Container_Ship, , port3, port4, getting_goods
T18, Singapore_Transportation, , port3, port2, completed
T19, Thailand_Container_Ship, , port4, port1, ongoing
T20, Fast_Ship, , port4, port3, ongoing
T21, Special_Transportation, , port4, port1, ongoing
T22, Multipurpose_Ship, , port3, port2, ongoing
T23, Liquid_Container, , port2, port3, getting_goods
T24, Container_Transportation, , port1, port4, ongoing
T25, Thailand_Container_Ship, , port5, port1, ongoing
